,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,,Patriots,Ben Coates 20 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,1.0,,Patriots,Adam Vinatieri 20 yard field goal,0,10
2,2.0,,Patriots,Adam Vinatieri 23 yard field goal,0,13
3,2.0,,Patriots,Adam Vinatieri 41 yard field goal,0,16
4,3.0,,Patriots,Adam Vinatieri 52 yard field goal,0,19
5,3.0,,Patriots,Curtis Martin 26 yard rush (Adam Vinatieri kick),0,26
6,3.0,,Patriots,Keith Byars 4 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,33
7,4.0,,Bills,Darick Holmes 1 yard rush (run failed),6,33
