,Quarter,Time,Tm,Detail,NYG,HOU
0,1.0,5:19,Giants,Hakeem Nicks 6 yard pass from Eli Manning (Lawrence Tynes kick),7,0
1,1.0,2:04,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),14,0
2,2.0,12:56,Giants,Hakeem Nicks 12 yard pass from Eli Manning (Lawrence Tynes kick),21,0
3,2.0,8:47,Texans,Neil Rackers 38 yard field goal,21,3
4,2.0,0:02,Giants,Lawrence Tynes 45 yard field goal,24,3
5,3.0,7:00,Texans,Derrick Ward 1 yard rush (Neil Rackers kick),24,10
6,3.0,1:22,Giants,Lawrence Tynes 42 yard field goal,27,10
7,4.0,4:50,Giants,Steve Smith 4 yard pass from Eli Manning (Lawrence Tynes kick),34,10
