,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Garo Yepremian 15 yard field goal,3,0
1,1.0,Bills,Wayne Patrick 1 yard rush (Grant Guthrie kick),3,7
2,2.0,Dolphins,Garo Yepremian 46 yard field goal,6,7
3,2.0,Dolphins,Garo Yepremian 13 yard field goal,9,7
4,2.0,Dolphins,Garo Yepremian 9 yard field goal,12,7
5,3.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),19,7
6,3.0,Bills,O.J. Simpson 46 yard rush (Grant Guthrie kick),19,14
7,4.0,Dolphins,Paul Warfield 23 yard pass from Bob Griese (Garo Yepremian kick),26,14
8,4.0,Dolphins,Garo Yepremian 48 yard field goal,29,14
