,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Anthony Allen 17 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,0
1,2.0,Falcons,Mick Luckhurst 24 yard field goal,10,0
2,3.0,49ers,Roger Craig 9 yard rush (Ray Wersching kick),10,7
3,3.0,Falcons,Mick Luckhurst 48 yard field goal,13,7
4,3.0,49ers,Joe Montana 1 yard rush (Ray Wersching kick),13,14
5,4.0,49ers,Dwight Clark 9 yard pass from Joe Montana (Ray Wersching kick),13,21
6,4.0,49ers,Roger Craig 62 yard rush (Ray Wersching kick),13,28
7,4.0,Falcons,Mick Luckhurst 29 yard field goal,16,28
8,4.0,49ers,Wendell Tyler 4 yard rush (Ray Wersching kick),16,35
