,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Don Cockroft 44 yard field goal,3,0
1,1.0,Steelers,Lynn Swann 39 yard pass from Terry Bradshaw (Roy Gerela kick),3,7
2,2.0,Steelers,Rocky Bleier 2 yard rush (Roy Gerela kick),3,14
3,2.0,Steelers,John Stallworth 38 yard pass from Terry Bradshaw (Roy Gerela kick),3,21
4,2.0,Steelers,Franco Harris 16 yard rush (Roy Gerela kick),3,28
5,3.0,Browns,Cleo Miller 5 yard rush (Don Cockroft kick),10,28
6,4.0,Steelers,John Stallworth 9 yard pass from Terry Bradshaw (Roy Gerela kick),10,35
7,4.0,Browns,Larry Poole 5 yard pass from Dave Mays (Don Cockroft kick),17,35
8,4.0,Browns,Larry Poole 13 yard pass from Dave Mays (Don Cockroft kick),24,35
9,4.0,Browns,Larry Poole 3 yard pass from Dave Mays (Don Cockroft kick),31,35
