,Quarter,Time,Tm,Detail,ARI,WAS
0,1.0,10:56,Redskins,Champ Bailey 7 yard rush (Eddie Murray kick),0,7
1,1.0,6:39,Redskins,Irving Fryar 7 yard pass from Brad Johnson (Eddie Murray kick),0,14
2,2.0,14:56,Redskins,Eddie Murray 41 yard field goal,0,17
3,2.0,9:15,Redskins,Scott Bentley 50 yard field goal,0,20
4,2.0,1:06,Cardinals,Cary Blanchard 37 yard field goal,3,20
