,Quarter,Tm,Detail,MIA,CIN
0,1.0,Dolphins,Paul Warfield 43 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Dolphins,Garo Yepremian 19 yard field goal,10,0
2,2.0,Bengals,Horst Muhlmann 16 yard field goal,10,3
3,3.0,Dolphins,Howard Twilley 4 yard pass from Bob Griese (Garo Yepremian kick),17,3
4,3.0,Bengals,Horst Muhlmann 9 yard field goal,17,6
5,4.0,Dolphins,Garo Yepremian 36 yard field goal,20,6
6,4.0,Bengals,Bob Trumpy 11 yard pass from Ken Anderson (Horst Muhlmann kick),20,13
7,4.0,Dolphins,Garo Yepremian 16 yard field goal,23,13
