,Quarter,Tm,Detail,WAS,SFO
0,2.0,49ers,Delvin Williams 80 yard rush (Steve Mike-Mayer kick),0,7
1,2.0,Redskins,Jean Fugett 18 yard pass from Joe Theismann (Mark Moseley kick),7,7
2,2.0,Redskins,Jean Fugett 33 yard pass from Joe Theismann (Mark Moseley kick),14,7
3,2.0,49ers,Delvin Williams 85 yard pass from Jim Plunkett (Steve Mike-Mayer kick),14,14
4,3.0,Redskins,Jean Fugett 3 yard pass from Joe Theismann (Mark Moseley kick),21,14
5,4.0,49ers,Delvin Williams 22 yard rush (Steve Mike-Mayer kick),21,21
6,4.0,Redskins,Mark Moseley 39 yard field goal,24,21
