,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Bruce Gossett 23 yard field goal,0,3
1,1.0,Rams,Bruce Gossett 38 yard field goal,0,6
2,2.0,Vikings,Gordie Smith 37 yard pass from Fran Tarkenton (Fred Cox kick),7,6
3,2.0,Rams,Dick Bass 2 yard rush (Bruce Gossett kick),7,13
4,3.0,Rams,Carroll Dale 32 yard pass from Bill Munson,7,19
5,4.0,Vikings,Bill McWatters 5 yard rush,13,19
6,4.0,Rams,Bruce Gossett 10 yard field goal,13,22
