,Quarter,Tm,Detail,KAN,RAI
0,1.0,Raiders,Napoleon McCallum 4 yard rush (Jeff Jaeger kick),0,7
1,2.0,Raiders,Ethan Horton 8 yard pass from Jeff Hostetler (Jeff Jaeger kick),0,14
2,2.0,Chiefs,Kimble Anders 15 yard pass from Dave Krieg (Nick Lowery kick),7,14
3,2.0,Raiders,Jeff Jaeger 35 yard field goal,7,17
4,3.0,Chiefs,Marcus Allen 4 yard rush (Nick Lowery kick),14,17
5,3.0,Chiefs,Willie Davis 66 yard pass from Dave Krieg (Nick Lowery kick),21,17
6,4.0,Raiders,Jeff Jaeger 30 yard field goal,21,20
7,4.0,Chiefs,Nick Lowery 29 yard field goal,24,20
8,4.0,Chiefs,Keith Cash 4 yard pass from Dave Krieg (Nick Lowery kick),31,20
