,Quarter,Time,Tm,Detail,NOR,LVR
0,1.0,11:06,Saints,Wil Lutz 31 yard field goal,3,0
1,1.0,3:55,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),10,0
2,2.0,8:59,Raiders,Alec Ingold 3 yard pass from Derek Carr (Daniel Carlson kick),10,7
3,2.0,5:27,Saints,Jared Cook 6 yard pass from Drew Brees (Wil Lutz kick),17,7
4,2.0,1:49,Raiders,Zay Jones 15 yard pass from Derek Carr (Daniel Carlson kick),17,14
5,2.0,0:04,Raiders,Daniel Carlson 28 yard field goal,17,17
6,3.0,10:03,Raiders,Darren Waller 1 yard pass from Derek Carr (Daniel Carlson kick),17,24
7,4.0,7:51,Raiders,Jalen Richard 20 yard rush (Daniel Carlson kick),17,31
8,4.0,4:38,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),24,31
9,4.0,1:08,Raiders,Daniel Carlson 54 yard field goal,24,34
