,Quarter,Tm,Detail,BUF,BAL
0,1.0,Colts,Ray Butler 52 yard pass from Mike Pagel (Raul Allegre kick),0,7
1,1.0,Bills,Joe Cribbs 14 yard pass from Joe Ferguson (Joe Danelo kick),7,7
2,2.0,Bills,Mark Brammer 4 yard pass from Joe Ferguson (Joe Danelo kick),14,7
3,2.0,Bills,Frank Lewis 20 yard pass from Joe Ferguson (Joe Danelo kick),21,7
4,2.0,Bills,Joe Danelo 23 yard field goal,24,7
5,3.0,Bills,Joe Danelo 40 yard field goal,27,7
6,4.0,Bills,Joe Danelo 30 yard field goal,30,7
