,Quarter,Tm,Detail,KAN,SDG
0,1,Chiefs,Ed Podolak 5 yard rush,6,0
1,2,Chiefs,Jan Stenerud 31 yard field goal,9,0
2,3,Chiefs,Jan Stenerud 36 yard field goal,12,0
3,4,Chiefs,Morris Stroud 39 yard pass from Mike Livingston (Jan Stenerud kick),19,0
