,Quarter,Tm,Detail,KAN,DEN
0,2.0,Chiefs,Jan Stenerud 38 yard field goal,3,0
1,2.0,Broncos,Haven Moses 18 yard pass from Charley Johnson (Jim Turner kick),3,7
2,2.0,Broncos,Haven Moses 40 yard pass from Charley Johnson (Jim Turner kick),3,14
3,4.0,Chiefs,Otis Taylor 7 yard pass from Mike Livingston (Jan Stenerud kick),10,14
