,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Mel Renfro 100 yard kickoff return (Danny Villanueva kick),0,7
1,1.0,49ers,Tommy Davis 10 yard field goal,3,7
2,1.0,49ers,Bernie Casey 4 yard pass from George Mira (Tommy Davis kick),10,7
3,2.0,Cowboys,Bob Hayes 24 yard pass from Don Meredith (Danny Villanueva kick),10,14
4,2.0,Cowboys,George Andrie defensive fumble recovery in end zone,10,20
5,2.0,Cowboys,Bob Lilly 17 yard interception return (Danny Villanueva kick),10,27
6,3.0,49ers,Gary Lewis 1 yard rush (Tommy Davis kick),17,27
7,3.0,Cowboys,Danny Villanueva 16 yard field goal,17,30
8,3.0,49ers,Dave Kopay 3 yard rush (Tommy Davis kick),24,30
9,4.0,49ers,Dave Parks 22 yard pass from George Mira (Tommy Davis kick),31,30
10,4.0,Cowboys,Bob Hayes 34 yard pass from Don Meredith,31,36
11,4.0,Cowboys,Danny Villanueva 34 yard field goal,31,39
