,Quarter,Tm,Detail,BAL,GNB
0,1.0,Colts,Dick Bielski 42 yard field goal,3,0
1,1.0,Packers,Herb Adderley 103 yard kickoff return (Jerry Kramer kick),3,7
2,1.0,Packers,Jerry Kramer 24 yard field goal,3,10
3,2.0,Colts,Jimmy Orr 34 yard pass from Johnny Unitas (Dick Bielski kick),10,10
4,3.0,Colts,Dick Bielski 18 yard field goal,13,10
5,4.0,Packers,Tom Moore 23 yard rush (Jerry Kramer kick),13,17
