,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),7,0
1,2.0,Giants,Ben Agajanian 32 yard field goal,10,0
2,3.0,Steelers,Sid Watson 1 yard rush (Gary Glick kick),10,7
3,3.0,Giants,Kyle Rote 3 yard pass from Charlie Conerly (Ben Agajanian kick),17,7
4,4.0,Steelers,Sid Watson 6 yard rush (Gary Glick kick),17,14
