,Quarter,Time,Tm,Detail,SEA,SDG
0,2.0,,Seahawks,Chris Warren 9 yard rush (John Kasay kick),7,0
1,2.0,,Chargers,John Carney 25 yard field goal,7,3
2,2.0,,Chargers,John Carney 39 yard field goal,7,6
3,2.0,,Chargers,Ronnie Harmon 15 yard rush (Ronnie Harmon pass from Stan Humphries),7,14
4,3.0,,Chargers,Natrone Means 5 yard rush (John Carney kick),7,21
5,4.0,,Chargers,Alfred Pupunu 8 yard pass from Gale Gilbert (John Carney kick),7,28
6,4.0,,Chargers,Tony Martin 16 yard pass from Gale Gilbert (John Carney kick),7,35
7,4.0,1:28,Seahawks,Jon Vaughn 93 yard kickoff return (Chris Warren run),15,35
