,Quarter,Tm,Detail,NWE,CHI
0,1.0,Patriots,Tony Franklin 36 yard field goal,3,0
1,1.0,Bears,Kevin Butler 28 yard field goal,3,3
2,1.0,Bears,Kevin Butler 24 yard field goal,3,6
3,1.0,Bears,Matt Suhey 11 yard rush (Kevin Butler kick),3,13
4,2.0,Bears,Jim McMahon 2 yard rush (Kevin Butler kick),3,20
5,2.0,Bears,Kevin Butler 24 yard field goal,3,23
6,3.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),3,30
7,3.0,Bears,Reggie Phillips 28 yard interception return (Kevin Butler kick),3,37
8,3.0,Bears,William Perry 1 yard rush (Kevin Butler kick),3,44
9,4.0,Patriots,Irving Fryar 8 yard pass from Steve Grogan (Tony Franklin kick),10,44
10,4.0,Bears,"Safety, Waechter tackled Grogan in end zone",10,46
