,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,8:27,Seahawks,Todd Peterson 35 yard field goal,0,3
1,2.0,12:52,Seahawks,Derrick Mayes 10 yard pass from Jon Kitna (Todd Peterson kick),0,10
2,3.0,11:43,Broncos,Jason Elam 35 yard field goal,3,10
3,3.0,5:29,Broncos,Ed McCaffrey 23 yard pass from Chris Miller (Jason Elam kick),10,10
4,3.0,0:50,Broncos,Howard Griffith 1 yard pass from Chris Miller (Jason Elam kick),17,10
5,4.0,14:20,Seahawks,Todd Peterson 43 yard field goal,17,13
6,4.0,7:19,Seahawks,Sean Dawkins 20 yard pass from Jon Kitna (Todd Peterson kick),17,20
