,Quarter,Time,Tm,Detail,JAX,NWE
0,1.0,,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),0,7
1,2.0,,Jaguars,Mike Hollis 32 yard field goal,3,7
2,2.0,,Patriots,Adam Vinatieri 29 yard field goal,3,10
3,2.0,,Patriots,Adam Vinatieri 20 yard field goal,3,13
4,3.0,,Jaguars,Mike Hollis 28 yard field goal,6,13
5,4.0,8:42,Patriots,Otis Smith 47 yard defensive fumble return (Adam Vinatieri kick),6,20
