,Quarter,Tm,Detail,GNB,ATL
0,1.0,Falcons,Art Malone 1 yard rush,0,6
1,2.0,Packers,Doug Hart 57 yard blocked field goal return (Lou Michaels kick),7,6
2,2.0,Falcons,Cannonball Butler 2 yard rush (run failed),7,12
3,2.0,Packers,Donny Anderson 14 yard pass from Scott Hunter (Lou Michaels kick),14,12
4,3.0,Falcons,Jim Mitchell 3 yard pass from Bob Berry (Bill Bell kick),14,19
5,4.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),14,26
6,4.0,Packers,John Brockington 24 yard rush (Lou Michaels kick),21,26
7,4.0,Falcons,"Safety, Zook tackled Hunter in end zone",21,28
