,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Jim Brown 20 yard rush (Lou Groza kick),0,7
1,2.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),0,14
2,2.0,Browns,Ray Renfro 4 yard pass from Milt Plum (Lou Groza kick),0,21
3,4.0,Eagles,Billy Ray Barnes 4 yard pass from Norm Van Brocklin (Bobby Walston kick),7,21
4,4.0,Browns,Bobby Mitchell 65 yard rush (Lou Groza kick),7,28
