,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,4:24,Panthers,John Kasay 45 yard field goal,0,3
1,2.0,7:33,Saints,Lance Moore 1 yard pass from Drew Brees (Olindo Mare kick),7,3
2,2.0,3:02,Saints,Olindo Mare 46 yard field goal,10,3
3,2.0,0:25,Panthers,John Kasay 29 yard field goal,10,6
4,3.0,10:12,Saints,Billy Miller 1 yard pass from Drew Brees (Olindo Mare kick),17,6
5,3.0,6:14,Saints,Drew Brees 8 yard rush (Olindo Mare kick),24,6
6,3.0,0:47,Saints,Marques Colston 4 yard pass from Drew Brees (Olindo Mare kick),31,6
