,Quarter,Time,Tm,Detail,BAL,MIA
0,1.0,10:38,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,0
1,1.0,8:46,Ravens,Marquise Brown 47 yard pass from Lamar Jackson (Justin Tucker kick),14,0
2,1.0,4:28,Ravens,Marquise Brown 83 yard pass from Lamar Jackson (Justin Tucker kick),21,0
3,2.0,13:56,Ravens,Willie Snead 33 yard pass from Lamar Jackson (Justin Tucker kick),28,0
4,2.0,10:43,Dolphins,Jason Sanders 54 yard field goal,28,3
5,2.0,6:56,Ravens,Miles Boykin 5 yard pass from Lamar Jackson (Justin Tucker kick),35,3
6,2.0,1:46,Ravens,Mark Ingram 2 yard rush (Justin Tucker kick),42,3
7,2.0,0:18,Dolphins,Preston Williams 6 yard pass from Ryan Fitzpatrick (Jason Sanders kick),42,10
8,3.0,7:58,Ravens,Patrick Ricard 1 yard pass from Lamar Jackson (Justin Tucker kick),49,10
9,3.0,0:27,Ravens,Justin Tucker 34 yard field goal,52,10
10,4.0,9:30,Ravens,Mark Andrews 3 yard pass from Robert Griffin III (Justin Tucker kick),59,10
