,Quarter,Time,Tm,Detail,SEA,SFO
0,2.0,10:59,49ers,Jed Weaver 18 yard pass from Jeff Garcia (Todd Peterson kick),0,7
1,2.0,8:47,49ers,Cedrick Wilson 14 yard pass from Jeff Garcia (Todd Peterson kick),0,14
2,2.0,5:51,Seahawks,Alex Bannister 31 yard pass from Matt Hasselbeck (Josh Brown kick),7,14
3,2.0,0:54,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),14,14
4,3.0,9:36,49ers,Todd Peterson 38 yard field goal,14,17
5,3.0,3:28,Seahawks,Koren Robinson 30 yard pass from Matt Hasselbeck (Josh Brown kick),21,17
6,4.0,1:56,Seahawks,Josh Brown 33 yard field goal,24,17
