,Quarter,Tm,Detail,NOR,WAS
0,1.0,Redskins,Charlie Harraway 12 yard rush (Curt Knight kick),0,7
1,2.0,Redskins,Curt Knight 19 yard field goal,0,10
2,2.0,Redskins,Charlie Harraway 30 yard pass from Sonny Jurgensen (Curt Knight kick),0,17
3,3.0,Saints,Don Shy 1 yard rush (Tom Dempsey kick),7,17
4,4.0,Saints,Ernie Wheelwright 5 yard rush (Tom Dempsey kick),14,17
