,Quarter,Tm,Detail,NWE,PHI
0,1.0,Patriots,Tony Franklin 24 yard field goal,3,0
1,1.0,Eagles,Joe Pisarcik 1 yard rush (Paul McFadden kick),3,7
2,1.0,Patriots,Stanley Morgan 9 yard pass from Tony Eason (Tony Franklin kick),10,7
3,2.0,Eagles,Paul McFadden 50 yard field goal,10,10
4,2.0,Eagles,Wilbert Montgomery 10 yard rush (Paul McFadden kick),10,17
5,3.0,Eagles,Paul McFadden 48 yard field goal,10,20
6,3.0,Patriots,Cedric Jones offensive fumble recovery in end zone (Tony Franklin kick),17,20
7,4.0,Eagles,Joe Pisarcik 3 yard rush (Paul McFadden kick),17,27
