,Quarter,Tm,Detail,MIA,SDG
0,1.0,Chargers,Gary Anderson 18 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,1.0,Chargers,Rolf Benirschke 26 yard field goal,0,10
2,1.0,Chargers,Tim Spencer 17 yard rush (Rolf Benirschke kick),0,17
3,2.0,Dolphins,Mark Clayton 22 yard pass from Dan Marino (Fuad Reveiz kick),7,17
4,2.0,Chargers,Buford McGee 4 yard rush,7,23
5,2.0,Dolphins,Mark Clayton 49 yard pass from Dan Marino (Fuad Reveiz kick),14,23
6,2.0,Chargers,Rolf Benirschke 36 yard field goal,14,26
7,3.0,Chargers,Wes Chandler 7 yard pass from Dan Fouts (Rolf Benirschke kick),14,33
8,3.0,Dolphins,Nat Moore 6 yard pass from Dan Marino (Fuad Reveiz kick),21,33
9,3.0,Chargers,Pete Holohan 17 yard pass from Dan Fouts (Rolf Benirschke kick),21,40
10,4.0,Chargers,Buford McGee 4 yard rush (Rolf Benirschke kick),21,47
11,4.0,Chargers,Rolf Benirschke 36 yard field goal,21,50
12,4.0,Dolphins,Nat Moore 17 yard pass from Don Strock (Fuad Reveiz kick),28,50
