,Quarter,Tm,Detail,RAM,DET
0,2.0,Lions,Bill Dudley 14 yard pass from Clyde LeForce (Merv Pregulman kick),0,7
1,2.0,Lions,John Greene 27 yard pass from Clyde LeForce (Merv Pregulman kick),0,14
2,2.0,Lions,Bob Mann 42 yard pass from Clyde LeForce (Merv Pregulman kick),0,21
3,3.0,Rams,Gerry Cowhig 10 yard rush (Bob Waterfield kick),7,21
4,3.0,Rams,Tom Keane 16 yard pass from Jim Hardy,13,21
5,4.0,Rams,Tom Keane 10 yard pass from Jim Hardy (Bob Waterfield kick),20,21
6,4.0,Rams,Gerry Cowhig 2 yard rush (Bob Waterfield kick),27,21
7,4.0,Lions,George Grimes 17 yard pass from Fred Enke,27,27
8,4.0,Rams,Bob Hoffman 1 yard rush (Bob Waterfield kick),34,27
