,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,13:28,Saints,"Safety, David Baas fumble out of bounds in end zone for a safety.",2,0
1,1.0,9:33,Saints,Reggie Bush 6 yard pass from Drew Brees (Garrett Hartley kick),9,0
2,2.0,9:52,49ers,Frank Gore 12 yard pass from Alex Smith (Joe Nedney kick),9,7
3,3.0,6:51,49ers,Anthony Dixon 2 yard rush (Joe Nedney kick),9,14
4,3.0,1:43,Saints,David Thomas 3 yard pass from Drew Brees (Garrett Hartley kick),16,14
5,4.0,13:31,Saints,Garrett Hartley 46 yard field goal,19,14
6,4.0,2:12,Saints,Garrett Hartley 19 yard field goal,22,14
7,4.0,1:19,49ers,Frank Gore 7 yard rush (Vernon Davis pass from Alex Smith),22,22
8,4.0,0:00,Saints,Garrett Hartley 37 yard field goal,25,22
