,Quarter,Tm,Detail,NYG,MIA
0,1.0,Giants,Rodney Hampton 14 yard rush (David Treadwell kick),7,0
1,1.0,Dolphins,Keith Byars 6 yard rush (Pete Stoyanovich kick),7,7
2,2.0,Giants,Howard Cross 20 yard pass from Phil Simms (David Treadwell kick),14,7
3,3.0,Giants,David Treadwell 42 yard field goal,17,7
4,4.0,Giants,"Safety, Hamilton sacked DeBerg in end zone",19,7
5,4.0,Dolphins,Tony Martin 25 yard pass from Steve DeBerg (Pete Stoyanovich kick),19,14
