,Quarter,Tm,Detail,SDG,RAM
0,1.0,Chargers,Hank Bauer 1 yard rush (Mike Wood kick),7,0
1,1.0,Rams,Wendell Tyler 3 yard rush (Frank Corral kick),7,7
2,2.0,Chargers,John Jefferson 65 yard pass from Dan Fouts (Mike Wood kick),14,7
3,3.0,Chargers,Wilbur Young 3 yard defensive fumble return (Mike Wood kick),21,7
4,3.0,Chargers,Mike Wood 37 yard field goal,24,7
5,3.0,Chargers,Bob Klein 6 yard pass from Dan Fouts (Mike Wood kick),31,7
6,4.0,Rams,Preston Dennard 31 yard pass from Pat Haden (Frank Corral kick),31,14
7,4.0,Chargers,Mike Wood 31 yard field goal,34,14
8,4.0,Chargers,Hank Bauer 1 yard rush,40,14
9,4.0,Rams,"Safety, West stepped out of end zone",40,16
