,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Duke Hanny interception in end zone (Joey Sternaman kick),7,0
1,2.0,Bears,Johnny Bryan unknown yard rush (Joey Sternaman kick),14,0
2,2.0,Bears,Oscar Knop unknown yard rush (Joey Sternaman kick),21,0
