,Quarter,Time,Tm,Detail,SDG,SEA
0,2.0,12:57,Seahawks,Sean Dawkins 10 yard pass from Jon Kitna (Rian Lindell kick),0,7
1,2.0,8:34,Seahawks,Christian Fauria 10 yard pass from Jon Kitna (Rian Lindell kick),0,14
2,2.0,0:00,Chargers,John Carney 19 yard field goal,3,14
3,3.0,9:11,Chargers,John Carney 41 yard field goal,6,14
4,3.0,4:12,Chargers,Curtis Conway 10 yard pass from Jim Harbaugh (run failed),12,14
5,4.0,5:36,Chargers,John Carney 28 yard field goal,15,14
6,4.0,0:00,Seahawks,Rian Lindell 48 yard field goal,15,17
