,Quarter,Time,Tm,Detail,CIN,MIN
0,1.0,,Vikings,Randall Cunningham 3 yard rush (Gary Anderson kick),0,7
1,2.0,,Bengals,Doug Pelfrey 37 yard field goal,3,7
2,3.0,,Vikings,Dwayne Rudd 63 yard defensive fumble return (Gary Anderson kick),3,14
3,4.0,,Vikings,Gary Anderson 32 yard field goal,3,17
4,4.0,11:33,Vikings,Randy Moss 61 yard pass from Randall Cunningham (Gary Anderson kick),3,24
