,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Doak Walker 47 yard field goal,3,0
1,1.0,Rams,Tom Fears 13 yard pass from Norm Van Brocklin (Bob Waterfield kick),3,7
2,2.0,Rams,Norm Van Brocklin 1 yard rush (Bob Waterfield kick),3,14
3,2.0,Rams,Vitamin Smith 67 yard pass from Bob Waterfield (Bob Waterfield kick),3,21
4,2.0,Lions,Wally Triplett 97 yard kickoff return (Doak Walker kick),10,21
5,2.0,Rams,Bob Waterfield 30 yard field goal,10,24
6,3.0,Rams,Elroy Hirsch 31 yard pass from Norm Van Brocklin (Bob Waterfield kick),10,31
7,3.0,Rams,Glenn Davis 45 yard pass from Norm Van Brocklin (Bob Waterfield kick),10,38
8,3.0,Rams,Dan Towler 3 yard rush (Bob Waterfield kick),10,45
9,3.0,Rams,Tom Fears 30 yard pass from Norm Van Brocklin,10,51
10,3.0,Lions,John Greene 46 yard pass from Fred Enke (Doak Walker kick),17,51
11,3.0,Rams,Vitamin Smith 93 yard kickoff return (Elroy Hirsch kick),17,58
12,3.0,Rams,Bob Boyd 42 yard pass from Norm Van Brocklin (Elroy Hirsch kick),17,65
13,4.0,Lions,John Greene 43 yard pass from Fred Enke (Doak Walker kick),24,65
