,Quarter,Tm,Detail,CLE,IND
0,1.0,Browns,Matt Stover 41 yard field goal,3,0
1,2.0,Browns,Kevin Mack 3 yard pass from Bernie Kosar (Matt Stover kick),10,0
2,2.0,Browns,Kevin Mack 51 yard rush (Matt Stover kick),17,0
3,2.0,Browns,Leroy Hoard 2 yard rush (Matt Stover kick),24,0
4,2.0,Browns,James Jones 20 yard interception return (Matt Stover kick),31,0
