,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Sam Baker 16 yard field goal,3,0
1,1.0,Redskins,Bob Khayat 14 yard field goal,3,3
2,2.0,Cowboys,Lee Folkins 11 yard pass from Don Meredith (Sam Baker kick),10,3
3,3.0,Cowboys,Amos Marsh 23 yard pass from Eddie LeBaron (Sam Baker kick),17,3
4,3.0,Cowboys,J.W. Lockett 4 yard pass from Don Meredith (Sam Baker kick),24,3
5,4.0,Cowboys,Amos Bullocks 4 yard rush (Sam Baker kick),31,3
6,4.0,Cowboys,Frank Clarke 14 yard pass from Eddie LeBaron (Sam Baker kick),38,3
7,4.0,Redskins,Galen Hall 1 yard rush (Bob Khayat kick),38,10
