,Quarter,Tm,Detail,CIN,SDG
0,1.0,Chargers,Ronnie Harmon 36 yard pass from Billy Joe Tolliver (Fuad Reveiz kick),0,7
1,1.0,Chargers,Joe Caravello 17 yard pass from Billy Joe Tolliver,0,13
2,2.0,Bengals,James Brooks 10 yard pass from Boomer Esiason (Jim Breech kick),7,13
3,2.0,Chargers,Fuad Reveiz 19 yard field goal,7,16
4,2.0,Bengals,Eddie Brown 30 yard pass from Boomer Esiason (Jim Breech kick),14,16
5,4.0,Bengals,Eddie Brown 23 yard pass from Boomer Esiason (Jim Breech kick),21,16
