,Quarter,Tm,Detail,DET,STL
0,2.0,Cardinals,Steve Jones 10 yard rush (Jim Bakken kick),0,7
1,3.0,Lions,Leonard Thompson 19 yard pass from Gary Danielson (Benny Ricardo kick),7,7
2,3.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),7,14
3,4.0,Lions,David Hill 15 yard pass from Gary Danielson (Benny Ricardo kick),14,14
4,4.0,Cardinals,Dave Stief 53 yard pass from Jim Hart (Jim Bakken kick),14,21
