,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,7:49,Texans,Shayne Graham 48 yard field goal,0,3
1,2.0,13:07,Texans,Shayne Graham 27 yard field goal,0,6
2,2.0,9:30,Bengals,Leon Hall 21 yard interception return (Josh Brown kick),7,6
3,2.0,2:19,Texans,Shayne Graham 22 yard field goal,7,9
4,3.0,10:31,Texans,Arian Foster 1 yard rush (Shayne Graham kick),7,16
5,3.0,7:48,Bengals,Josh Brown 34 yard field goal,10,16
6,4.0,14:17,Texans,Shayne Graham 24 yard field goal,10,19
7,4.0,9:03,Bengals,Josh Brown 47 yard field goal,13,19
