,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Horst Muhlmann 38 yard field goal,3,0
1,2.0,Browns,Leroy Kelly 3 yard rush (Don Cockroft kick),3,7
2,3.0,Browns,Leroy Kelly 7 yard rush (Don Cockroft kick),3,14
3,4.0,Bengals,Isaac Curtis 60 yard pass from Ken Anderson (Horst Muhlmann kick),10,14
4,4.0,Browns,Don Cockroft 24 yard field goal,10,17
