,Quarter,Tm,Detail,PHI,RAM
0,1.0,Eagles,Vic Sears 33 yard fumble return (Len Barnum kick),7,0
1,1.0,Rams,Johnny Wilson fumble recovery in end zone (Chet Adams kick),7,7
2,2.0,Rams,Jack Boone 48 yard pass from Jack Jacobs (Chet Adams kick),7,14
3,2.0,Rams,Chet Adams 20 yard field goal,7,17
4,3.0,Rams,Johnny Wilson 45 yard pass from Parker Hall (Chet Adams kick),7,24
5,4.0,Eagles,Ernie Steele 9 yard pass from Tommy Thompson (Dick Erdlitz kick),14,24
