,Quarter,Tm,Detail,NYY,CLE
0,2.0,Yankees,Eddie Tryon unknown yard rush (Eddie Tryon kick),7,0
1,2.0,Yankees,Bullet Baker fumble recovery in end zone,13,0
2,3.0,Bulldogs,Jim Simmons unknown yard rush (Benny Friedman kick),13,7
