,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Bruce Gossett 36 yard field goal,0,3
1,1.0,Packers,Bob Jeter 75 yard interception return (Don Chandler kick),7,3
2,2.0,Rams,Bruce Gossett 30 yard field goal,7,6
3,2.0,Packers,Don Chandler 10 yard field goal,10,6
4,2.0,Rams,Bruce Gossett 17 yard field goal,10,9
5,2.0,Packers,Donny Anderson 2 yard rush (Don Chandler kick),17,9
6,4.0,Packers,Carroll Dale 23 yard pass from Zeke Bratkowski (Don Chandler kick),24,9
7,4.0,Packers,Don Chandler 47 yard field goal,27,9
8,4.0,Rams,Roman Gabriel 11 yard rush (Bruce Gossett kick),27,16
9,4.0,Rams,Marlin McKeever 3 yard pass from Roman Gabriel (Bruce Gossett kick),27,23
