,Quarter,Time,Tm,Detail,KAN,BAL
0,1.0,11:09,Ravens,Matt Stover 50 yard field goal,0,3
1,1.0,6:13,Chiefs,Jason Dunn 3 yard pass from Trent Green (Lawrence Tynes kick),7,3
2,1.0,0:15,Chiefs,Lawrence Tynes 42 yard field goal,10,3
3,2.0,11:50,Ravens,Randy Hymes 57 yard pass from Kyle Boller (Matt Stover kick),10,10
4,2.0,3:42,Chiefs,Priest Holmes 4 yard rush (Lawrence Tynes kick),17,10
5,2.0,1:30,Ravens,B.J. Sams 58 yard punt return (Matt Stover kick),17,17
6,3.0,8:19,Chiefs,Lawrence Tynes 38 yard field goal,20,17
7,4.0,14:57,Chiefs,Priest Holmes 1 yard rush (Lawrence Tynes kick),27,17
8,4.0,9:14,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),27,24
