,Quarter,Tm,Detail,STL,TAM
0,1.0,Buccaneers,Bill Capece 29 yard field goal,0,3
1,1.0,Buccaneers,Bill Capece 23 yard field goal,0,6
2,2.0,Cardinals,Neil O'Donoghue 20 yard field goal,3,6
3,3.0,Cardinals,Willard Harrell 1 yard rush (Neil O'Donoghue kick),10,6
4,4.0,Buccaneers,James Owens 1 yard rush (Bill Capece kick),10,13
5,4.0,Buccaneers,Jerry Eckwood 31 yard rush (Bill Capece kick),10,20
