,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Roger Carr 41 yard pass from Bert Jones (Toni Linhart kick),7,0
1,2.0,Colts,Toni Linhart 24 yard field goal,10,0
2,2.0,Colts,Toni Linhart 35 yard field goal,13,0
3,4.0,Colts,Roger Carr 79 yard pass from Bert Jones (Toni Linhart kick),20,0
