,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Morten Andersen 45 yard field goal,3,0
1,1.0,Saints,Craig Heyward 22 yard pass from Steve Walsh (Morten Andersen kick),10,0
2,1.0,Rams,Tony Zendejas 31 yard field goal,10,3
3,2.0,Rams,Robert Delpino 2 yard rush (Tony Zendejas kick),10,10
4,2.0,Saints,Wesley Carroll 31 yard pass from Steve Walsh (Morten Andersen kick),17,10
5,4.0,Saints,Buford Jordan 11 yard rush (Morten Andersen kick),24,10
6,4.0,Rams,Flipper Anderson 15 yard pass from Jim Everett (Tony Zendejas kick),24,17
