,Quarter,Time,Tm,Detail,TEN,NYG
0,1.0,9:29,Titans,Rob Bironas 48 yard field goal,3,0
1,2.0,8:43,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),10,0
2,2.0,4:12,Giants,Lawrence Tynes 50 yard field goal,10,3
3,2.0,0:36,Giants,Ahmad Bradshaw 10 yard rush (Lawrence Tynes kick),10,10
4,3.0,10:39,Titans,"Safety, Ahmad Bradshaw penalized for an illegal chop block in the end zone.",12,10
5,3.0,7:43,Titans,Kenny Britt 13 yard pass from Vince Young (Rob Bironas kick),19,10
6,4.0,7:50,Titans,Rob Bironas 22 yard field goal,22,10
7,4.0,4:02,Titans,Chris Johnson 8 yard rush (Rob Bironas kick),29,10
