,Quarter,Tm,Detail,DUL,RAC
0,2.0,Eskimos,Ernie Nevers unknown yard rush (Ernie Nevers kick),7,0
1,2.0,Eskimos,Johnny Blood 10 yard pass from Ernie Nevers (Ernie Nevers kick),14,0
2,3.0,Eskimos,Paul Fitzgibbon unknown yard rush (Ernie Nevers kick),21,0
