,Quarter,Time,Tm,Detail,SEA,TAM
0,1.0,7:34,Buccaneers,Mike Evans 3 yard pass from Jameis Winston (Roberto Aguayo kick),0,7
1,1.0,2:53,Buccaneers,Mike Evans 23 yard pass from Jameis Winston (Roberto Aguayo kick),0,14
2,2.0,13:23,Seahawks,"Safety, Luke Stocker penalty in end zone",2,14
3,2.0,10:39,Seahawks,Stephen Hauschka 43 yard field goal,5,14
