,Quarter,Tm,Detail,GNB,KAN
0,1.0,Chiefs,Jan Stenerud 23 yard field goal,0,3
1,1.0,Chiefs,Henry Marshall 3 yard pass from Mike Livingston (Jan Stenerud kick),0,10
2,3.0,Packers,Chester Marcol 31 yard field goal,3,10
3,4.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),3,17
4,4.0,Packers,Terdell Middleton 85 yard kickoff return (Chester Marcol kick),10,17
5,4.0,Chiefs,Jan Stenerud 22 yard field goal,10,20
