,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,11:02,Buccaneers,Roberto Aguayo 33 yard field goal,0,3
1,1.0,8:22,Panthers,Jonathan Stewart 2 yard rush (Graham Gano kick),7,3
2,3.0,14:19,Buccaneers,Brent Grimes 31 yard interception return (Roberto Aguayo kick),7,10
3,3.0,6:37,Panthers,Graham Gano 54 yard field goal,10,10
4,4.0,3:13,Buccaneers,Mike Evans 10 yard pass from Jameis Winston (Roberto Aguayo kick),10,17
5,4.0,0:17,Panthers,Kelvin Benjamin 5 yard pass from Cam Newton (pass failed),16,17
