,Quarter,Tm,Detail,AKR,BUF
0,1,All-Americans,Waddy Kuehl unknown yard pass from Tommy Hughitt,0,6
1,2,All-Americans,Frank Morrissey unknown yard field goal,0,9
2,3,All-Americans,Jim Laird unknown yard pass from Waddy Kuehl (Frank Morrissey kick),0,16
