,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,8:39,Colts,Robert Turbin 1 yard rush (Adam Vinatieri kick),0,7
1,1.0,2:32,Colts,Donte Moncrief 2 yard pass from Andrew Luck (Adam Vinatieri kick),0,14
2,2.0,10:35,Colts,T.Y. Hilton 2 yard pass from Andrew Luck (Adam Vinatieri kick),0,21
3,2.0,0:20,Titans,DeMarco Murray 3 yard pass from Marcus Mariota (Ryan Succop kick),7,21
4,3.0,6:35,Titans,Tajae Sharpe 34 yard pass from Marcus Mariota (Ryan Succop kick),14,21
5,4.0,12:14,Titans,Ryan Succop 47 yard field goal,17,21
6,4.0,10:50,Colts,Adam Vinatieri 49 yard field goal,17,24
