,Quarter,Time,Tm,Detail,KAN,CLE
0,1.0,,Browns,Earnest Byner 7 yard rush (Matt Stover kick),0,7
1,2.0,,Chiefs,Lin Elliott 25 yard field goal,3,7
2,3.0,,Browns,Andre Rison 4 yard pass from Vinny Testaverde (Matt Stover kick),3,14
3,4.0,,Browns,Earnest Byner 3 yard pass from Vinny Testaverde (Matt Stover kick),3,21
4,4.0,,Chiefs,Keith Cash 38 yard pass from Steve Bono (Lin Elliott kick),10,21
5,4.0,,Browns,Gerald Dixon 18 yard interception return (Matt Stover kick),10,28
6,4.0,,Browns,Mike Caldwell 24 yard interception return (Matt Stover kick),10,35
7,4.0,,Chiefs,Webster Slaughter 2 yard pass from Steve Bono (Lin Elliott kick),17,35
