,Quarter,Tm,Detail,NYG,DET
0,1.0,Giants,"Safety, Gedman tackled by Katcavage in end zone",2,0
1,1.0,Giants,Pat Summerall 18 yard field goal,5,0
2,2.0,Giants,Alex Webster 6 yard pass from Charlie Conerly (Pat Summerall kick),12,0
3,2.0,Lions,Jim Martin 39 yard field goal,12,3
4,3.0,Lions,Ken Webb 2 yard pass from Tobin Rote (Jim Martin kick),12,10
5,3.0,Lions,Wayne Walker 34 yard fumble return (Jim Martin kick),12,17
6,4.0,Giants,Frank Gifford 1 yard rush (Pat Summerall kick),19,17
