,Quarter,Tm,Detail,SFO,NOR
0,2.0,49ers,Mike Cofer 41 yard field goal,3,0
1,2.0,Saints,Hoby Brenner 2 yard pass from Bobby Hebert (Morten Andersen kick),3,7
2,2.0,Saints,Morten Andersen 49 yard field goal,3,10
3,3.0,Saints,Dalton Hilliard 19 yard pass from Bobby Hebert (Morten Andersen kick),3,17
4,3.0,49ers,Jerry Rice 60 yard pass from Joe Montana (Mike Cofer kick),10,17
5,4.0,49ers,John Taylor 21 yard pass from Joe Montana (Mike Cofer kick),17,17
6,4.0,Saints,Morten Andersen 39 yard field goal,17,20
7,4.0,49ers,John Taylor 32 yard pass from Joe Montana (Mike Cofer kick),24,20
