,Quarter,Tm,Detail,NOR,TAM
0,1.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),7,0
1,2.0,Buccaneers,Donald Igwebuike 34 yard field goal,7,3
2,2.0,Buccaneers,Ron Hall 11 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,10
3,2.0,Saints,Morten Andersen 33 yard field goal,10,10
4,3.0,Buccaneers,Lars Tate 5 yard rush (Donald Igwebuike kick),10,17
5,4.0,Buccaneers,Donald Igwebuike 37 yard field goal,10,20
