,Quarter,Tm,Detail,TOL,RCH
0,1,Maroons,Si Seyfrit unknown yard pass from Dutch Lauer,6,0
1,2,Jeffersons,Hal Clark unknown yard pass from Shag Sheard,6,6
2,3,Maroons,Cowboy Hill unknown yard rush,12,6
