,Quarter,Tm,Detail,MIL,DET
0,1,Panthers,Dutch Marion unknown yard rush (Gus Sonnenberg kick),0,7
1,2,Panthers,Vivian Hultman 30 yard pass from Dick Vick (Gus Sonnenberg kick),0,14
2,3,Panthers,Dinger Doane 5 yard rush (Gus Sonnenberg kick),0,21
