,Quarter,Tm,Detail,DEN,CIN
0,1.0,Broncos,Floyd Little 7 yard rush (Jim Turner kick),7,0
1,2.0,Broncos,Jim Turner 38 yard field goal,10,0
2,2.0,Bengals,Essex Johnson 1 yard rush (Horst Muhlmann kick),10,7
3,3.0,Bengals,Tommy Casanova 66 yard punt return (Horst Muhlmann kick),10,14
4,4.0,Bengals,Chip Myers 12 yard pass from Ken Anderson (Horst Muhlmann kick),10,21
